threshold,precision,recall,f1,accuracy
0.0,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.05555555555555555,0.5941176470588235,0.9901960784313726,0.7426470588235294,0.6195652173913043
0.1111111111111111,0.6688741721854304,0.9901960784313726,0.7984189723320158,0.7228260869565217
0.16666666666666666,0.7333333333333333,0.9705882352941176,0.8354430379746834,0.7880434782608695
0.2222222222222222,0.765625,0.9607843137254902,0.8521739130434782,0.8152173913043478
0.2777777777777778,0.7983193277310925,0.9313725490196079,0.8597285067873304,0.8315217391304348
0.3333333333333333,0.8173913043478261,0.9215686274509803,0.8663594470046083,0.842391304347826
0.38888888888888884,0.8090909090909091,0.8725490196078431,0.8396226415094339,0.8152173913043478
0.4444444444444444,0.8207547169811321,0.8529411764705882,0.8365384615384616,0.8152173913043478
0.5,0.8469387755102041,0.8137254901960784,0.8300000000000002,0.8152173913043478
0.5555555555555556,0.8804347826086957,0.7941176470588235,0.8350515463917525,0.8260869565217391
0.611111111111111,0.8987341772151899,0.696078431372549,0.7845303867403314,0.7880434782608695
0.6666666666666666,0.9305555555555556,0.6568627450980392,0.7701149425287356,0.782608695652174
0.7222222222222222,0.9393939393939394,0.6078431372549019,0.738095238095238,0.7608695652173914
0.7777777777777777,0.9655172413793104,0.5490196078431373,0.7000000000000002,0.7391304347826086
0.8333333333333333,0.9787234042553191,0.45098039215686275,0.6174496644295302,0.6902173913043478
0.8888888888888888,1.0,0.29411764705882354,0.45454545454545453,0.6086956521739131
0.9444444444444444,1.0,0.08823529411764706,0.1621621621621622,0.4945652173913043
1.0,0.0,0.0,0.0,0.44565217391304346
