threshold,precision,recall,f1,accuracy
0.0,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.05555555555555555,0.5838150289017341,0.9901960784313726,0.7345454545454545,0.6032608695652174
0.1111111111111111,0.6474358974358975,0.9901960784313726,0.7829457364341086,0.6956521739130435
0.16666666666666666,0.7062937062937062,0.9901960784313726,0.8244897959183674,0.7663043478260869
0.2222222222222222,0.75,0.9705882352941176,0.846153846153846,0.8043478260869565
0.2777777777777778,0.7950819672131147,0.9509803921568627,0.8660714285714285,0.8369565217391305
0.3333333333333333,0.8017241379310345,0.9117647058823529,0.8532110091743118,0.8260869565217391
0.38888888888888884,0.8157894736842105,0.9117647058823529,0.861111111111111,0.8369565217391305
0.4444444444444444,0.8198198198198198,0.8921568627450981,0.8544600938967136,0.8315217391304348
0.5,0.8365384615384616,0.8529411764705882,0.8446601941747574,0.8260869565217391
0.5555555555555556,0.865979381443299,0.8235294117647058,0.8442211055276382,0.8315217391304348
0.611111111111111,0.8735632183908046,0.7450980392156863,0.8042328042328043,0.7989130434782609
0.6666666666666666,0.8987341772151899,0.696078431372549,0.7845303867403314,0.7880434782608695
0.7222222222222222,0.9305555555555556,0.6568627450980392,0.7701149425287356,0.782608695652174
0.7777777777777777,0.953125,0.5980392156862745,0.7349397590361445,0.7608695652173914
0.8333333333333333,0.9622641509433962,0.5,0.6580645161290323,0.7119565217391305
0.8888888888888888,0.972972972972973,0.35294117647058826,0.5179856115107914,0.6358695652173914
0.9444444444444444,1.0,0.09803921568627451,0.17857142857142855,0.5
1.0,0.0,0.0,0.0,0.44565217391304346
