threshold,precision,recall,f1,accuracy
0.0,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.05555555555555555,0.56353591160221,1.0,0.7208480565371024,0.5706521739130435
0.1111111111111111,0.6181818181818182,1.0,0.7640449438202247,0.657608695652174
0.16666666666666666,0.6601307189542484,0.9901960784313726,0.7921568627450981,0.7119565217391305
0.2222222222222222,0.704225352112676,0.9803921568627451,0.8196721311475409,0.7608695652173914
0.2777777777777778,0.7424242424242424,0.9607843137254902,0.8376068376068376,0.7934782608695652
0.3333333333333333,0.776,0.9509803921568627,0.8546255506607929,0.8206521739130435
0.38888888888888884,0.7851239669421488,0.9313725490196079,0.852017937219731,0.8206521739130435
0.4444444444444444,0.8070175438596491,0.9019607843137255,0.8518518518518519,0.8260869565217391
0.5,0.8256880733944955,0.8823529411764706,0.8530805687203792,0.8315217391304348
0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8152173913043478
0.611111111111111,0.8631578947368421,0.803921568627451,0.83248730964467,0.8206521739130435
0.6666666666666666,0.8876404494382022,0.7745098039215687,0.8272251308900522,0.8206521739130435
0.7222222222222222,0.8947368421052632,0.6666666666666666,0.7640449438202247,0.7717391304347826
0.7777777777777777,0.9142857142857143,0.6274509803921569,0.7441860465116279,0.7608695652173914
0.8333333333333333,0.9310344827586207,0.5294117647058824,0.6749999999999999,0.717391304347826
0.8888888888888888,0.972972972972973,0.35294117647058826,0.5179856115107914,0.6358695652173914
0.9444444444444444,1.0,0.08823529411764706,0.1621621621621622,0.4945652173913043
1.0,0.0,0.0,0.0,0.44565217391304346
