threshold,precision,recall,f1,accuracy
0.0,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.05555555555555555,0.5738636363636364,0.9901960784313726,0.7266187050359713,0.5869565217391305
0.1111111111111111,0.63125,0.9901960784313726,0.7709923664122138,0.6739130434782609
0.16666666666666666,0.6802721088435374,0.9803921568627451,0.8032128514056225,0.7336956521739131
0.2222222222222222,0.7226277372262774,0.9705882352941176,0.8284518828451883,0.7771739130434783
0.2777777777777778,0.765625,0.9607843137254902,0.8521739130434782,0.8152173913043478
0.3333333333333333,0.768,0.9411764705882353,0.8458149779735683,0.8097826086956522
0.38888888888888884,0.7933884297520661,0.9411764705882353,0.8609865470852018,0.8315217391304348
0.4444444444444444,0.8050847457627118,0.9313725490196079,0.8636363636363636,0.8369565217391305
0.5,0.8198198198198198,0.8921568627450981,0.8544600938967136,0.8315217391304348
0.5555555555555556,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8369565217391305
0.611111111111111,0.8709677419354839,0.7941176470588235,0.8307692307692308,0.8206521739130435
0.6666666666666666,0.9069767441860465,0.7647058823529411,0.8297872340425532,0.8260869565217391
0.7222222222222222,0.9102564102564102,0.696078431372549,0.7888888888888889,0.7934782608695652
0.7777777777777777,0.9264705882352942,0.6176470588235294,0.7411764705882353,0.7608695652173914
0.8333333333333333,0.9661016949152542,0.5588235294117647,0.7080745341614907,0.7445652173913043
0.8888888888888888,0.9795918367346939,0.47058823529411764,0.6357615894039735,0.7010869565217391
0.9444444444444444,0.0,0.0,0.0,0.44565217391304346
1.0,0.0,0.0,0.0,0.44565217391304346
